id	text
P16B_IsoDate	Stratigraphy means that where the sample was within the layers of sedimentary rock can give clues about its age.
P16B_IsoDate	Deeper layers are generally older.
P16B_IsoDate	The environmental context also matters.
P16B_IsoDate	e.g., was it found under solidified lava.
P16B_IsoDate	e.g., when did that lava solidify.
P16B_IsoDate	There are many challenges to dating.
P16B_IsoDate	Such as contamination.
P16B_IsoDate	Samples can be contaminated with materials from different ages.
P16B_IsoDate	Contamination can skew results.
P16B_IsoDate	Contamination is most common in carbon dating.
P03C_CutSen	The cutaneous senses take information from our skin and send it to the brain.
P03C_CutSen	The cutaneous senses take information from the epidermis and send it to the brain.
P03C_CutSen	The cutaneous senses take information from the dermis and send it to the brain.
P03C_CutSen	There are various types of mechanoreceptors that can perceive different sensory stimuli.
P03C_CutSen	Merkel's disks are slow adapting.
P03C_CutSen	Ruffini's corpuscles are slow adapting.
P03C_CutSen	Merkel's disks are great for light pressure.
P03C_CutSen	Merkel's disks are great for the discrimination of shapes.
P03C_CutSen	Merkel's disks are great for the discrimination of edges.
P03C_CutSen	Merkel's disks are great for the discrimination of rough textures.
P03C_CutSen	Ruffini's corpuscles are great for light pressure.
P03C_CutSen	Ruffini's corpuscles are great for the discrimination of shapes.
P03C_CutSen	Ruffini's corpuscles are great for the discrimination of edges.
P03C_CutSen	Ruffini's corpuscles are great for the discrimination of rough textures.
P03C_CutSen	Meissner receptors vibrate at low frequency.
P03C_CutSen	Meissner receptors have a rapid adapting rate.
P03C_CutSen	Meissner receptors are ideal for when textured objects are moved across the skin.
P03C_CutSen	Pacinian corpuscles are large.
P03C_CutSen	Pacinian corpuscles are ideal for discriminating fine surface textures.
P03C_CutSen	Pacinian corpuscles are ideal for moving stimuli that produce high frequency vibration.
P03C_CutSen	Cutaneous senses are traditionally thought to comprise four recognized sub-modalities.
P03C_CutSen	The four recognized sub-modalities relay tactile information to the central nervous system.
P03C_CutSen	The four recognized sub-modalities relay thermal information to the central nervous system.
P03C_CutSen	The four recognized sub-modalities relay painful information to the central nervous system.
P03C_CutSen	The four recognized sub-modalities relay pruritic (itch) information to the central nervous system.
P03C_CutSen	There is evidence to suggest there is a fifth modality.
P03C_CutSen	The fifth modality conveys positive affective (pleasant) properties of touch.
P03C_CutSen	Cutaneous sensory channels can be further classified as serving predominantly discriminative functions.
P03C_CutSen	Cutaneous sensory channels can be further classified as serving predominantly affective functions.
P03C_CutSen	Discriminative functions provide information about the spatial localization of events on the body surface.
P03C_CutSen	Discriminative functions provide information about the temporal localization of events on the body surface.
P03C_CutSen	Discriminative functions provide information about the presence of an insect on the body surface.
P03C_CutSen	Discriminative functions provide information about the temperature of a cold wind on the body surface.
P03C_CutSen	Affective functions provide the afferent neural input driving the negative emotional experience of pain.
P03C_CutSen	Affective functions provide the afferent neural input driving the positive emotional experience of pain.
P03C_CutSen	Cutaneous receptors play a role in initiating reflexive responses.
P03C_CutSen	Cutaneous receptors play a role in the flexion withdrawal reflex in response to potentially harmful stimuli.
P03C_CutSen	Cutaneous receptors may signal information regarding joint position when the skin is stretched.
P03C_CutSen	Cutaneous receptors may signal information regarding kinesthesia when the skin is stretched.
P03C_CutSen	These physical receptors help us perceive the world around us.
F101C_CutSen	The cutaneous system relates most to the sense of touch.
F101C_CutSen	The cutaneous system relays tactile information to the central nervous system.
F101C_CutSen	The cutaneous system relays thermal information to the central nervous system.
F101C_CutSen	The cutaneous system relays pain information to the central nervous system.
F101C_CutSen	The cutaneous system relays pruritic information to the central nervous system.
F101C_CutSen	The cutaneous system starts at the skin at the dermis.
F101C_CutSen	The dermis is below the epidermis.
F101C_CutSen	The dermis contains four kinds of mechanoreceptors.
F101C_CutSen	The mechanoreceptors respond to stimuli such as pressure.
F101C_CutSen	The mechanoreceptors respond to stimuli such as stretching.
F101C_CutSen	The mechanoreceptors respond to stimuli such as vibration.
F101C_CutSen	There are two major pathways in the spinal cord.
F101C_CutSen	The two major pathways are the medial lemniscal pathway.
F101C_CutSen	The two major pathways are the spinothalamic pathway.
F101C_CutSen	One pathway is for touch information.
F101C_CutSen	The other pathway is for pain.
F101C_CutSen	The pathways cross over to the opposite side of the body.
F101C_CutSen	The pathways synapse in the thalamus.
F101C_CutSen	The pathways go to the somatosensory cortex.
F101C_CutSen	The somatosensory cortex is located in the parietal lobe.
F101C_CutSen	Nociceptors help signal pain.
F101C_CutSen	Nociceptors signal pain related to temperature.
F101C_CutSen	Nociceptors signal pain related to pressure.
F101C_CutSen	Nociceptors signal pain related to chemicals.
F101C_CutSen	Nociceptors only signal when the body has reached a point of tissue damage.
F77D_ChemSen	The chemical senses consist of taste.
F77D_ChemSen	The chemical senses consist of smell.
F77D_ChemSen	The stimuli is molecules we either breathe.
F77D_ChemSen	The stimuli is molecules [in the food we eat].
F77D_ChemSen	We have receptors to respond to these.
F77D_ChemSen	There is evidence to suggest 6 groupings of taste.
F77D_ChemSen	The 6 groupings of taste include sweet.
F77D_ChemSen	The 6 groupings of taste include salty.
F77D_ChemSen	The 6 groupings of taste include sour.
F77D_ChemSen	The 6 groupings of taste include bitter.
F77D_ChemSen	The 6 groupings of taste include umami.
F77D_ChemSen	The 6 groupings of taste include fatty content.
F77D_ChemSen	In order to taste, we have taste buds.
F77D_ChemSen	Taste buds have a life cycle of ten-fourteen days.
F77D_ChemSen	Taste information is transmitted to the medulla.
F77D_ChemSen	Taste information is transmitted to the thalamus.
F77D_ChemSen	Taste information is transmitted to the limbic system.
F77D_ChemSen	At the top of the nose, there are olfactory receptors.
F77D_ChemSen	Olfactory receptors serve as ways for odor molecules to interact with chemical receptors.
F77D_ChemSen	From here, information is sent to regions of the limbic system.
F77D_ChemSen	From here, information is sent to the primary olfactory cortex.
F64C_IsoDate	Isotopic dating is the measurement of time using the decay of radioactive isotopes.
F64C_IsoDate	Isotopic dating is the measurement of time using the accumulation of decay products at a known rate.
F64C_IsoDate	Different elements which decay are used to measure how fast something decays.
F64C_IsoDate	Different elements which decay are used to measure how slow something decays.
F64C_IsoDate	Different elements which decay are used to identify the age of a fossil.
F64C_IsoDate	Different elements which decay are used to identify the age of a layer of rock.
F64C_IsoDate	The process requires an element that decays.
F64C_IsoDate	The process requires stable elements as well to measure.
F64C_IsoDate	Isotopic dating is most commonly used with rocks.
F64C_IsoDate	The rate of decay among elements has been constant over geological time.
F64C_IsoDate	The atoms when an element decays stay there.
F64C_IsoDate	The atoms when an element decays don't escape to the surrounding rock.
F64C_IsoDate	The atoms when an element decays don't escape to the surrounding water.
F64C_IsoDate	The atoms when an element decays don't escape to the surrounding air.
F64C_IsoDate	A popularly used combination of elements is the K-Ar dating technique.
F64C_IsoDate	Isotopic dating requires a lot of math.
F64C_IsoDate	Isotopic dating requires a technique called half-life.
F64C_IsoDate	Half-life is the way to measure how fast an element decays.
F64C_IsoDate	Half-life is the way to measure how slow an element decays.
F64C_IsoDate	If we had 100g of K and then we had 50g in 24 hours, the half-life of K would be 24 hours.
F64C_IsoDate	The way you measure half-life is by calculation of how long the period of time is before there is half of the element left from the start.
F64C_IsoDate	If there was 100g of K and 2 hours later, there was 75g, the half-life in this case would be 4 hours.
F64C_IsoDate	25g was gone in 2 hours.
F64C_IsoDate	To get to 50g, which is half, you would need 2 more hours.
F59C_GeoTime	Geologic time is the vast span of time over which Earth's geologic history has occurred.
F59C_GeoTime	This time is divided into different hierarchical segments based on significant events in Earth's history.
F59C_GeoTime	The divisions of geologic time from largest to smallest are eons.
F59C_GeoTime	The divisions of geologic time from largest to smallest are eras.
F59C_GeoTime	The divisions of geologic time from largest to smallest are periods.
F59C_GeoTime	The divisions of geologic time from largest to smallest are epochs.
F59C_GeoTime	The divisions of geologic time from largest to smallest are ages.
F59C_GeoTime	This framework is known as the Geologic Time Scale.
F59C_GeoTime	Geologic time is used to understand Earth's history.
F59C_GeoTime	Geologic time is used to understand the processes that have shaped the planet over billions of years.
F59C_GeoTime	Geologic time provides information on earth sciences.
F59C_GeoTime	Geologic time provides insights into the planet's past transformations.
F59C_GeoTime	Geologic time provides insights into the planet's present transformations.
F59C_GeoTime	Geologic time provides insights into the planet's future transformations.
F59C_GeoTime	Scientists use evidence from rocks to figure out when these events happened.
F59C_GeoTime	Scientists use evidence from fossils to figure out when these events happened.
F59C_GeoTime	Scientists use evidence from rocks to reconstruct the story of our planet.
F59C_GeoTime	Scientists use evidence from fossils to reconstruct the story of our planet.
F59C_GeoTime	These methods include relative dating.
F59C_GeoTime	These methods include absolute dating.
